#71603 YQI Yarmouth Observations at 12Z 20 Jun 2014</H2>
#----------------------------------------------------------------------------
#  PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
#   hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
#----------------------------------------------------------------------------
   15.8  28400  -40.3  -76.3      1   0.08     61     21  761.6  762.5  761.7
   13.9  29261  -40.7  -76.2      1   0.09     70     30  788.2  789.2  788.3
   12.7  29870  -41.0  -76.1      1   0.10     95     44  807.6  808.8  807.7
   12.5  29992  -41.1  -76.1      1   0.10     97     42  811.6  812.7  811.6
   12.2  30175  -40.6  -75.8      1   0.11    100     40  819.6  820.9  819.7
   11.6  30480  -39.7  -75.3      1   0.12    100     38  833.3  834.7  833.3
   10.7  31090  -37.9  -74.4      1   0.15    120     33  861.2  863.1  861.3
   10.2  31394  -37.1  -73.9      1   0.17    100     37  875.4  877.6  875.5
   10.0  31520  -36.7  -73.7      1   0.18    100     37  881.4  883.6  881.5
    8.9  32309  -35.0  -73.0      1   0.22    105     30  916.8  919.8  917.0
    8.6  32614  -34.3  -72.7      1   0.24     80     31  930.9  934.1  931.0
    8.2  32918  -33.7  -72.4      1   0.26     85     41  945.1  948.7  945.3
    7.5  33528  -32.3  -71.9      1   0.31     90     43  974.3  978.6  974.5
    7.2  33833  -31.7  -71.6      1   0.34    105     43  989.2  994.0  989.4
